"Step","saturate_2x271M_15B - train/CE loss","saturate_2x271M_15B - train/CE loss__MIN","saturate_2x271M_15B - train/CE loss__MAX"
"1","11.237067222595215","11.237067222595215","11.237067222595215"
"2","10.940513610839844","10.940513610839844","10.940513610839844"
"3","10.327796936035156","10.327796936035156","10.327796936035156"
"4","9.927114486694336","9.927114486694336","9.927114486694336"
"5","9.736326217651367","9.736326217651367","9.736326217651367"
"6","9.647133827209473","9.647133827209473","9.647133827209473"
"7","9.347466468811035","9.347466468811035","9.347466468811035"
"8","9.096537590026855","9.096537590026855","9.096537590026855"
"9","8.876394271850586","8.876394271850586","8.876394271850586"
"10","8.860003471374512","8.860003471374512","8.860003471374512"
"11","8.705501556396484","8.705501556396484","8.705501556396484"
"12","8.492274284362793","8.492274284362793","8.492274284362793"
"13","8.308053970336914","8.308053970336914","8.308053970336914"
"14","8.195493698120117","8.195493698120117","8.195493698120117"
"15","8.033140182495117","8.033140182495117","8.033140182495117"
"16","7.906279563903809","7.906279563903809","7.906279563903809"
"17","7.867705345153809","7.867705345153809","7.867705345153809"
"18","7.775032043457031","7.775032043457031","7.775032043457031"
"19","7.757541179656982","7.757541179656982","7.757541179656982"
"20","7.649255752563477","7.649255752563477","7.649255752563477"
"21","7.655091285705566","7.655091285705566","7.655091285705566"
"22","7.626699924468994","7.626699924468994","7.626699924468994"
"23","7.621902942657471","7.621902942657471","7.621902942657471"
"24","7.645575046539307","7.645575046539307","7.645575046539307"
"25","7.573393821716309","7.573393821716309","7.573393821716309"
"26","7.562773704528809","7.562773704528809","7.562773704528809"
"27","7.540121555328369","7.540121555328369","7.540121555328369"
"28","7.533027648925781","7.533027648925781","7.533027648925781"
"29","7.484798908233643","7.484798908233643","7.484798908233643"
"30","7.426131725311279","7.426131725311279","7.426131725311279"
"31","7.468413352966309","7.468413352966309","7.468413352966309"
"32","7.411044120788574","7.411044120788574","7.411044120788574"
"33","7.414229869842529","7.414229869842529","7.414229869842529"
"34","7.390324592590332","7.390324592590332","7.390324592590332"
"35","7.325207233428955","7.325207233428955","7.325207233428955"
"36","7.312998294830322","7.312998294830322","7.312998294830322"
"37","7.242542743682861","7.242542743682861","7.242542743682861"
"38","7.268081188201904","7.268081188201904","7.268081188201904"
"39","7.20340633392334","7.20340633392334","7.20340633392334"
"40","7.154590129852295","7.154590129852295","7.154590129852295"
"41","7.121057033538818","7.121057033538818","7.121057033538818"
"42","7.108283519744873","7.108283519744873","7.108283519744873"
"43","7.124160289764404","7.124160289764404","7.124160289764404"
"44","7.118490219116211","7.118490219116211","7.118490219116211"
"45","7.0370635986328125","7.0370635986328125","7.0370635986328125"
"46","7.03655481338501","7.03655481338501","7.03655481338501"
"47","7.0607781410217285","7.0607781410217285","7.0607781410217285"
"48","7.033050060272217","7.033050060272217","7.033050060272217"
"49","6.944649696350098","6.944649696350098","6.944649696350098"
"50","6.958419322967529","6.958419322967529","6.958419322967529"
"51","6.926366329193115","6.926366329193115","6.926366329193115"
"52","6.9424285888671875","6.9424285888671875","6.9424285888671875"
"53","6.9538984298706055","6.9538984298706055","6.9538984298706055"
"54","6.913120746612549","6.913120746612549","6.913120746612549"
"55","6.813406467437744","6.813406467437744","6.813406467437744"
"56","6.876945495605469","6.876945495605469","6.876945495605469"
"57","6.804704666137695","6.804704666137695","6.804704666137695"
"58","6.751241683959961","6.751241683959961","6.751241683959961"
"59","6.778538227081299","6.778538227081299","6.778538227081299"
"60","6.79002046585083","6.79002046585083","6.79002046585083"
"61","6.756401538848877","6.756401538848877","6.756401538848877"
"62","6.698451519012451","6.698451519012451","6.698451519012451"
"63","6.6741766929626465","6.6741766929626465","6.6741766929626465"
"64","6.640486717224121","6.640486717224121","6.640486717224121"
"65","6.661794185638428","6.661794185638428","6.661794185638428"
"66","6.596639633178711","6.596639633178711","6.596639633178711"
"67","6.638338565826416","6.638338565826416","6.638338565826416"
"68","6.625277996063232","6.625277996063232","6.625277996063232"
"69","6.629127502441406","6.629127502441406","6.629127502441406"
"70","6.710587024688721","6.710587024688721","6.710587024688721"
"71","6.584168910980225","6.584168910980225","6.584168910980225"
"72","6.584506511688232","6.584506511688232","6.584506511688232"
"73","6.804891586303711","6.804891586303711","6.804891586303711"
"74","6.671134948730469","6.671134948730469","6.671134948730469"
"75","6.636983871459961","6.636983871459961","6.636983871459961"
"76","6.656250476837158","6.656250476837158","6.656250476837158"
"77","6.554885387420654","6.554885387420654","6.554885387420654"
"78","6.5249247550964355","6.5249247550964355","6.5249247550964355"
"79","6.591383457183838","6.591383457183838","6.591383457183838"
"80","6.513869285583496","6.513869285583496","6.513869285583496"
"81","6.538565635681152","6.538565635681152","6.538565635681152"
"82","6.45371675491333","6.45371675491333","6.45371675491333"
"83","6.532660484313965","6.532660484313965","6.532660484313965"
"84","6.511247634887695","6.511247634887695","6.511247634887695"
"85","6.530362606048584","6.530362606048584","6.530362606048584"
"86","6.503201007843018","6.503201007843018","6.503201007843018"
"87","6.524043560028076","6.524043560028076","6.524043560028076"
"88","6.541286945343018","6.541286945343018","6.541286945343018"
"89","6.48162841796875","6.48162841796875","6.48162841796875"
"90","6.457941055297852","6.457941055297852","6.457941055297852"
"91","6.425431728363037","6.425431728363037","6.425431728363037"
"92","6.317042827606201","6.317042827606201","6.317042827606201"
"93","6.411953449249268","6.411953449249268","6.411953449249268"
"94","6.4054083824157715","6.4054083824157715","6.4054083824157715"
"95","6.438150882720947","6.438150882720947","6.438150882720947"
"96","6.343222141265869","6.343222141265869","6.343222141265869"
"97","6.495627403259277","6.495627403259277","6.495627403259277"
"98","6.4099650382995605","6.4099650382995605","6.4099650382995605"
"99","6.389168739318848","6.389168739318848","6.389168739318848"
"100","6.420141220092773","6.420141220092773","6.420141220092773"
"101","6.384954929351807","6.384954929351807","6.384954929351807"
"102","6.388460636138916","6.388460636138916","6.388460636138916"
"103","6.331818103790283","6.331818103790283","6.331818103790283"
"104","6.294934272766113","6.294934272766113","6.294934272766113"
"105","6.353793621063232","6.353793621063232","6.353793621063232"
"106","6.294328689575195","6.294328689575195","6.294328689575195"
"107","6.343542098999023","6.343542098999023","6.343542098999023"
"108","6.320199489593506","6.320199489593506","6.320199489593506"
"109","6.260376453399658","6.260376453399658","6.260376453399658"
"110","6.212015628814697","6.212015628814697","6.212015628814697"
"111","6.24650239944458","6.24650239944458","6.24650239944458"
"112","6.2346625328063965","6.2346625328063965","6.2346625328063965"
"113","6.271034240722656","6.271034240722656","6.271034240722656"
"114","6.242771148681641","6.242771148681641","6.242771148681641"
"115","6.323199272155762","6.323199272155762","6.323199272155762"
"116","6.229403018951416","6.229403018951416","6.229403018951416"
"117","6.309659481048584","6.309659481048584","6.309659481048584"
"118","6.252501010894775","6.252501010894775","6.252501010894775"
"119","6.1803178787231445","6.1803178787231445","6.1803178787231445"
"120","6.2120490074157715","6.2120490074157715","6.2120490074157715"
"121","6.14663028717041","6.14663028717041","6.14663028717041"
"122","6.285075664520264","6.285075664520264","6.285075664520264"
"123","6.205863952636719","6.205863952636719","6.205863952636719"
"124","6.120162487030029","6.120162487030029","6.120162487030029"
"125","6.249457836151123","6.249457836151123","6.249457836151123"
"126","6.146631240844727","6.146631240844727","6.146631240844727"
"127","6.166083812713623","6.166083812713623","6.166083812713623"
"128","6.148609638214111","6.148609638214111","6.148609638214111"
"129","6.167750358581543","6.167750358581543","6.167750358581543"
"130","6.116566181182861","6.116566181182861","6.116566181182861"
"131","6.107672214508057","6.107672214508057","6.107672214508057"
"132","6.1429033279418945","6.1429033279418945","6.1429033279418945"
"133","6.061769008636475","6.061769008636475","6.061769008636475"
"134","6.107634544372559","6.107634544372559","6.107634544372559"
"135","6.116888523101807","6.116888523101807","6.116888523101807"
"136","6.137907981872559","6.137907981872559","6.137907981872559"
"137","6.102331638336182","6.102331638336182","6.102331638336182"
"138","6.095623016357422","6.095623016357422","6.095623016357422"
"139","6.0265069007873535","6.0265069007873535","6.0265069007873535"
"140","6.065314769744873","6.065314769744873","6.065314769744873"
"141","6.063134670257568","6.063134670257568","6.063134670257568"
"142","6.0971293449401855","6.0971293449401855","6.0971293449401855"
"143","6.0738606452941895","6.0738606452941895","6.0738606452941895"
"144","6.036356449127197","6.036356449127197","6.036356449127197"
"145","6.058328628540039","6.058328628540039","6.058328628540039"
"146","6.028559684753418","6.028559684753418","6.028559684753418"
"147","6.0198493003845215","6.0198493003845215","6.0198493003845215"
"148","5.963332176208496","5.963332176208496","5.963332176208496"
"149","5.996939182281494","5.996939182281494","5.996939182281494"
"150","5.991328239440918","5.991328239440918","5.991328239440918"
"151","6.0386786460876465","6.0386786460876465","6.0386786460876465"
"152","6.009803771972656","6.009803771972656","6.009803771972656"
"153","6.148129463195801","6.148129463195801","6.148129463195801"
"154","6.079583168029785","6.079583168029785","6.079583168029785"
"155","6.0207977294921875","6.0207977294921875","6.0207977294921875"
"156","6.0320587158203125","6.0320587158203125","6.0320587158203125"
"157","6.055473804473877","6.055473804473877","6.055473804473877"
"158","6.045450687408447","6.045450687408447","6.045450687408447"
"159","5.975365161895752","5.975365161895752","5.975365161895752"
"160","5.982621669769287","5.982621669769287","5.982621669769287"
"161","5.989328861236572","5.989328861236572","5.989328861236572"
"162","6.004367351531982","6.004367351531982","6.004367351531982"
"163","5.954421520233154","5.954421520233154","5.954421520233154"
"164","5.932592391967773","5.932592391967773","5.932592391967773"
"165","5.985935688018799","5.985935688018799","5.985935688018799"
"166","5.9350104331970215","5.9350104331970215","5.9350104331970215"
"167","5.93263578414917","5.93263578414917","5.93263578414917"
"168","5.956022262573242","5.956022262573242","5.956022262573242"
"169","5.9455461502075195","5.9455461502075195","5.9455461502075195"
"170","5.944005966186523","5.944005966186523","5.944005966186523"
"171","5.924857139587402","5.924857139587402","5.924857139587402"
"172","5.955996513366699","5.955996513366699","5.955996513366699"
"173","5.870233058929443","5.870233058929443","5.870233058929443"
"174","5.8968706130981445","5.8968706130981445","5.8968706130981445"
"175","5.912261962890625","5.912261962890625","5.912261962890625"
"176","5.907351970672607","5.907351970672607","5.907351970672607"
"177","5.8855109214782715","5.8855109214782715","5.8855109214782715"
"178","5.895838260650635","5.895838260650635","5.895838260650635"
"179","5.835874557495117","5.835874557495117","5.835874557495117"
"180","5.906107425689697","5.906107425689697","5.906107425689697"
"181","5.863070487976074","5.863070487976074","5.863070487976074"
"182","5.94683313369751","5.94683313369751","5.94683313369751"
"183","5.8928022384643555","5.8928022384643555","5.8928022384643555"
"184","5.864147663116455","5.864147663116455","5.864147663116455"
"185","5.834638595581055","5.834638595581055","5.834638595581055"
"186","5.880505084991455","5.880505084991455","5.880505084991455"
"187","5.818825721740723","5.818825721740723","5.818825721740723"
"188","5.8101677894592285","5.8101677894592285","5.8101677894592285"
"189","5.821154594421387","5.821154594421387","5.821154594421387"
"190","5.864112377166748","5.864112377166748","5.864112377166748"
"191","5.817004680633545","5.817004680633545","5.817004680633545"
"192","5.842597961425781","5.842597961425781","5.842597961425781"
"193","5.809418201446533","5.809418201446533","5.809418201446533"
"194","5.818332672119141","5.818332672119141","5.818332672119141"
"195","5.832086563110352","5.832086563110352","5.832086563110352"
"196","5.797571659088135","5.797571659088135","5.797571659088135"
"197","5.801925182342529","5.801925182342529","5.801925182342529"
"198","5.786656379699707","5.786656379699707","5.786656379699707"
"199","5.810787200927734","5.810787200927734","5.810787200927734"
"200","5.780948162078857","5.780948162078857","5.780948162078857"
"201","5.77433443069458","5.77433443069458","5.77433443069458"
"202","5.776355266571045","5.776355266571045","5.776355266571045"
"203","5.731716156005859","5.731716156005859","5.731716156005859"
"204","5.74739408493042","5.74739408493042","5.74739408493042"
"205","5.812621593475342","5.812621593475342","5.812621593475342"
"206","5.789539813995361","5.789539813995361","5.789539813995361"
"207","5.807757377624512","5.807757377624512","5.807757377624512"
"208","5.760641574859619","5.760641574859619","5.760641574859619"
"209","5.7350263595581055","5.7350263595581055","5.7350263595581055"
"210","5.708427429199219","5.708427429199219","5.708427429199219"
"211","5.787350177764893","5.787350177764893","5.787350177764893"
"212","5.815487384796143","5.815487384796143","5.815487384796143"
"213","5.821628570556641","5.821628570556641","5.821628570556641"
"214","5.757335662841797","5.757335662841797","5.757335662841797"
"215","5.821017742156982","5.821017742156982","5.821017742156982"
"216","5.747132778167725","5.747132778167725","5.747132778167725"
"217","5.778522968292236","5.778522968292236","5.778522968292236"
"218","5.8007965087890625","5.8007965087890625","5.8007965087890625"
"219","5.711692810058594","5.711692810058594","5.711692810058594"
"220","5.703171730041504","5.703171730041504","5.703171730041504"
"221","5.795581817626953","5.795581817626953","5.795581817626953"
"222","5.703015327453613","5.703015327453613","5.703015327453613"
"223","5.722136497497559","5.722136497497559","5.722136497497559"
"224","5.669980049133301","5.669980049133301","5.669980049133301"
"225","5.713314056396484","5.713314056396484","5.713314056396484"
"226","5.7552008628845215","5.7552008628845215","5.7552008628845215"
"227","5.6574554443359375","5.6574554443359375","5.6574554443359375"
"228","5.744687557220459","5.744687557220459","5.744687557220459"
"229","5.731322288513184","5.731322288513184","5.731322288513184"
"230","5.7552337646484375","5.7552337646484375","5.7552337646484375"
"231","5.640985012054443","5.640985012054443","5.640985012054443"
"232","5.7056450843811035","5.7056450843811035","5.7056450843811035"
"233","5.728028297424316","5.728028297424316","5.728028297424316"
"234","5.697924613952637","5.697924613952637","5.697924613952637"
"235","5.761946201324463","5.761946201324463","5.761946201324463"
"236","5.7052435874938965","5.7052435874938965","5.7052435874938965"
"237","5.750670909881592","5.750670909881592","5.750670909881592"
"238","5.68721342086792","5.68721342086792","5.68721342086792"
"239","5.666329383850098","5.666329383850098","5.666329383850098"
"240","5.777807235717773","5.777807235717773","5.777807235717773"
"241","5.742621898651123","5.742621898651123","5.742621898651123"
"242","5.686148166656494","5.686148166656494","5.686148166656494"
"243","5.76619291305542","5.76619291305542","5.76619291305542"
"244","5.721986770629883","5.721986770629883","5.721986770629883"
"245","5.7789201736450195","5.7789201736450195","5.7789201736450195"
"246","5.711220741271973","5.711220741271973","5.711220741271973"
"247","5.664829730987549","5.664829730987549","5.664829730987549"
"248","5.689359188079834","5.689359188079834","5.689359188079834"
"249","5.713399410247803","5.713399410247803","5.713399410247803"
"250","5.6523613929748535","5.6523613929748535","5.6523613929748535"
"251","5.629907131195068","5.629907131195068","5.629907131195068"
"252","5.7109856605529785","5.7109856605529785","5.7109856605529785"
"253","5.711731433868408","5.711731433868408","5.711731433868408"
"254","5.68784236907959","5.68784236907959","5.68784236907959"
"255","5.701176166534424","5.701176166534424","5.701176166534424"
"256","5.6800312995910645","5.6800312995910645","5.6800312995910645"
"257","5.7276082038879395","5.7276082038879395","5.7276082038879395"
"258","5.694943428039551","5.694943428039551","5.694943428039551"
"259","5.674962997436523","5.674962997436523","5.674962997436523"
"260","5.710474014282227","5.710474014282227","5.710474014282227"
"261","5.658398628234863","5.658398628234863","5.658398628234863"
"262","5.681854248046875","5.681854248046875","5.681854248046875"
"263","5.698474407196045","5.698474407196045","5.698474407196045"
"264","5.670188903808594","5.670188903808594","5.670188903808594"
"265","5.7139811515808105","5.7139811515808105","5.7139811515808105"
"266","5.739830493927002","5.739830493927002","5.739830493927002"
"267","5.723532199859619","5.723532199859619","5.723532199859619"
"268","5.780273914337158","5.780273914337158","5.780273914337158"
"269","5.716004848480225","5.716004848480225","5.716004848480225"
"270","5.72140645980835","5.72140645980835","5.72140645980835"
"271","5.7306623458862305","5.7306623458862305","5.7306623458862305"
"272","5.720307350158691","5.720307350158691","5.720307350158691"
"273","5.7863616943359375","5.7863616943359375","5.7863616943359375"
"274","5.689882755279541","5.689882755279541","5.689882755279541"
"275","5.620302677154541","5.620302677154541","5.620302677154541"
"276","5.6964311599731445","5.6964311599731445","5.6964311599731445"
"277","5.664897441864014","5.664897441864014","5.664897441864014"
"278","5.692078590393066","5.692078590393066","5.692078590393066"
"279","5.6765875816345215","5.6765875816345215","5.6765875816345215"
"280","5.686339855194092","5.686339855194092","5.686339855194092"
"281","5.806911945343018","5.806911945343018","5.806911945343018"
"282","5.771880149841309","5.771880149841309","5.771880149841309"
"283","5.791103839874268","5.791103839874268","5.791103839874268"
"284","5.785954475402832","5.785954475402832","5.785954475402832"
"285","5.779421329498291","5.779421329498291","5.779421329498291"
"286","5.758101940155029","5.758101940155029","5.758101940155029"
"287","5.765244007110596","5.765244007110596","5.765244007110596"
"288","5.748838901519775","5.748838901519775","5.748838901519775"
"289","5.714055061340332","5.714055061340332","5.714055061340332"
"290","5.767590522766113","5.767590522766113","5.767590522766113"
"291","5.80025577545166","5.80025577545166","5.80025577545166"
"292","5.869113445281982","5.869113445281982","5.869113445281982"
"293","5.840166091918945","5.840166091918945","5.840166091918945"
"294","5.857880115509033","5.857880115509033","5.857880115509033"
"295","5.784579753875732","5.784579753875732","5.784579753875732"
"296","5.810964107513428","5.810964107513428","5.810964107513428"
"297","5.763266086578369","5.763266086578369","5.763266086578369"
"298","5.847842693328857","5.847842693328857","5.847842693328857"
"299","5.830368995666504","5.830368995666504","5.830368995666504"
"300","5.77887487411499","5.77887487411499","5.77887487411499"
"301","5.787545204162598","5.787545204162598","5.787545204162598"
"302","5.797351360321045","5.797351360321045","5.797351360321045"
"303","5.834494590759277","5.834494590759277","5.834494590759277"
"304","5.848782539367676","5.848782539367676","5.848782539367676"
"305","5.864844799041748","5.864844799041748","5.864844799041748"
"306","5.842762470245361","5.842762470245361","5.842762470245361"
"307","5.832324981689453","5.832324981689453","5.832324981689453"
"308","5.8146138191223145","5.8146138191223145","5.8146138191223145"
"309","5.804952144622803","5.804952144622803","5.804952144622803"
"310","5.78455924987793","5.78455924987793","5.78455924987793"
"311","5.816071033477783","5.816071033477783","5.816071033477783"
"312","5.736732006072998","5.736732006072998","5.736732006072998"
"313","5.787537097930908","5.787537097930908","5.787537097930908"
"314","5.786937713623047","5.786937713623047","5.786937713623047"
"315","5.727052211761475","5.727052211761475","5.727052211761475"
"316","5.83005952835083","5.83005952835083","5.83005952835083"
"317","5.707834720611572","5.707834720611572","5.707834720611572"
"318","5.745608329772949","5.745608329772949","5.745608329772949"
"319","5.803979396820068","5.803979396820068","5.803979396820068"
"320","5.791864395141602","5.791864395141602","5.791864395141602"
"321","5.770698070526123","5.770698070526123","5.770698070526123"
"322","5.760842323303223","5.760842323303223","5.760842323303223"
"323","5.810577392578125","5.810577392578125","5.810577392578125"
"324","5.8260040283203125","5.8260040283203125","5.8260040283203125"
"325","5.903560638427734","5.903560638427734","5.903560638427734"
"326","5.860116004943848","5.860116004943848","5.860116004943848"
"327","5.841282367706299","5.841282367706299","5.841282367706299"
"328","5.802941799163818","5.802941799163818","5.802941799163818"
"329","5.82592248916626","5.82592248916626","5.82592248916626"
"330","5.9036784172058105","5.9036784172058105","5.9036784172058105"
"331","5.83270263671875","5.83270263671875","5.83270263671875"
"332","5.880072116851807","5.880072116851807","5.880072116851807"
"333","5.864345073699951","5.864345073699951","5.864345073699951"
"334","5.83683967590332","5.83683967590332","5.83683967590332"
"335","5.900543212890625","5.900543212890625","5.900543212890625"
"336","5.925204277038574","5.925204277038574","5.925204277038574"
"337","5.865705966949463","5.865705966949463","5.865705966949463"
"338","5.80029296875","5.80029296875","5.80029296875"
"339","5.805605411529541","5.805605411529541","5.805605411529541"
"340","5.828252792358398","5.828252792358398","5.828252792358398"
"341","5.842531204223633","5.842531204223633","5.842531204223633"
"342","5.843607425689697","5.843607425689697","5.843607425689697"
"343","5.818414211273193","5.818414211273193","5.818414211273193"
"344","5.787434101104736","5.787434101104736","5.787434101104736"
"345","5.752401828765869","5.752401828765869","5.752401828765869"
"346","5.777270317077637","5.777270317077637","5.777270317077637"
"347","5.8021721839904785","5.8021721839904785","5.8021721839904785"
"348","5.81878137588501","5.81878137588501","5.81878137588501"
"349","5.843541145324707","5.843541145324707","5.843541145324707"
"350","5.836703777313232","5.836703777313232","5.836703777313232"
"351","5.8414626121521","5.8414626121521","5.8414626121521"
"352","5.793741703033447","5.793741703033447","5.793741703033447"
"353","5.879727363586426","5.879727363586426","5.879727363586426"
"354","5.823482513427734","5.823482513427734","5.823482513427734"
"355","5.755479335784912","5.755479335784912","5.755479335784912"
"356","5.820075988769531","5.820075988769531","5.820075988769531"
"357","5.888278961181641","5.888278961181641","5.888278961181641"
"358","5.821023941040039","5.821023941040039","5.821023941040039"
"359","5.805351257324219","5.805351257324219","5.805351257324219"
"360","5.867493152618408","5.867493152618408","5.867493152618408"
"361","5.835811614990234","5.835811614990234","5.835811614990234"
"362","5.885672092437744","5.885672092437744","5.885672092437744"
"363","5.862548828125","5.862548828125","5.862548828125"
"364","5.855662822723389","5.855662822723389","5.855662822723389"
"365","5.92746639251709","5.92746639251709","5.92746639251709"
"366","5.883850574493408","5.883850574493408","5.883850574493408"
"367","5.844028949737549","5.844028949737549","5.844028949737549"
"368","5.902774810791016","5.902774810791016","5.902774810791016"
"369","5.874440670013428","5.874440670013428","5.874440670013428"
"370","5.906754493713379","5.906754493713379","5.906754493713379"
"371","5.937704563140869","5.937704563140869","5.937704563140869"
"372","5.804962158203125","5.804962158203125","5.804962158203125"
"373","5.847097396850586","5.847097396850586","5.847097396850586"
"374","5.834884166717529","5.834884166717529","5.834884166717529"
"375","5.835086822509766","5.835086822509766","5.835086822509766"
"376","5.864092826843262","5.864092826843262","5.864092826843262"
"377","5.830878734588623","5.830878734588623","5.830878734588623"
"378","5.825438976287842","5.825438976287842","5.825438976287842"
"379","5.861364841461182","5.861364841461182","5.861364841461182"
"380","5.871811389923096","5.871811389923096","5.871811389923096"
"381","5.877425193786621","5.877425193786621","5.877425193786621"
"382","5.832701683044434","5.832701683044434","5.832701683044434"
"383","5.7994065284729","5.7994065284729","5.7994065284729"
"384","5.843763828277588","5.843763828277588","5.843763828277588"
"385","5.849075794219971","5.849075794219971","5.849075794219971"
"386","5.814570426940918","5.814570426940918","5.814570426940918"
"387","5.849560737609863","5.849560737609863","5.849560737609863"
"388","5.822475433349609","5.822475433349609","5.822475433349609"
"389","5.828273296356201","5.828273296356201","5.828273296356201"
"390","5.827934741973877","5.827934741973877","5.827934741973877"
"391","5.841451644897461","5.841451644897461","5.841451644897461"
"392","5.792115211486816","5.792115211486816","5.792115211486816"
"393","5.829452037811279","5.829452037811279","5.829452037811279"
"394","5.7966461181640625","5.7966461181640625","5.7966461181640625"
"395","5.790622711181641","5.790622711181641","5.790622711181641"
"396","5.815577983856201","5.815577983856201","5.815577983856201"
"397","5.840281963348389","5.840281963348389","5.840281963348389"
