"Step","saturate_271M_15B_2 - train/CE loss","saturate_271M_15B_2 - train/CE loss__MIN","saturate_271M_15B_2 - train/CE loss__MAX"
"1","11.021903038024902","11.021903038024902","11.021903038024902"
"2","10.902741432189941","10.902741432189941","10.902741432189941"
"3","10.639601707458496","10.639601707458496","10.639601707458496"
"4","10.277194023132324","10.277194023132324","10.277194023132324"
"5","9.91236400604248","9.91236400604248","9.91236400604248"
"6","9.645346641540527","9.645346641540527","9.645346641540527"
"7","9.481398582458496","9.481398582458496","9.481398582458496"
"8","9.361897468566895","9.361897468566895","9.361897468566895"
"9","9.264497756958008","9.264497756958008","9.264497756958008"
"10","9.158952713012695","9.158952713012695","9.158952713012695"
"11","9.088397026062012","9.088397026062012","9.088397026062012"
"12","8.990718841552734","8.990718841552734","8.990718841552734"
"13","8.870527267456055","8.870527267456055","8.870527267456055"
"14","8.761093139648438","8.761093139648438","8.761093139648438"
"15","8.628259658813477","8.628259658813477","8.628259658813477"
"16","8.484856605529785","8.484856605529785","8.484856605529785"
"17","8.360486030578613","8.360486030578613","8.360486030578613"
"18","8.245112419128418","8.245112419128418","8.245112419128418"
"19","8.122517585754395","8.122517585754395","8.122517585754395"
"20","7.996016502380371","7.996016502380371","7.996016502380371"
"21","7.9007110595703125","7.9007110595703125","7.9007110595703125"
"22","7.844858646392822","7.844858646392822","7.844858646392822"
"23","7.749950885772705","7.749950885772705","7.749950885772705"
"24","7.703466892242432","7.703466892242432","7.703466892242432"
"25","7.652673721313477","7.652673721313477","7.652673721313477"
"26","7.63780403137207","7.63780403137207","7.63780403137207"
"27","7.632320404052734","7.632320404052734","7.632320404052734"
"28","7.580807209014893","7.580807209014893","7.580807209014893"
"29","7.5871262550354","7.5871262550354","7.5871262550354"
"30","7.562804222106934","7.562804222106934","7.562804222106934"
"31","7.529150485992432","7.529150485992432","7.529150485992432"
"32","7.5558366775512695","7.5558366775512695","7.5558366775512695"
"33","7.5435919761657715","7.5435919761657715","7.5435919761657715"
"34","7.446957111358643","7.446957111358643","7.446957111358643"
"35","7.437669277191162","7.437669277191162","7.437669277191162"
"36","7.432159900665283","7.432159900665283","7.432159900665283"
"37","7.393178939819336","7.393178939819336","7.393178939819336"
"38","7.401134967803955","7.401134967803955","7.401134967803955"
"39","7.345343112945557","7.345343112945557","7.345343112945557"
"40","7.352199554443359","7.352199554443359","7.352199554443359"
"41","7.305992126464844","7.305992126464844","7.305992126464844"
"42","7.297022342681885","7.297022342681885","7.297022342681885"
"43","7.299997329711914","7.299997329711914","7.299997329711914"
"44","7.228001594543457","7.228001594543457","7.228001594543457"
"45","7.201910972595215","7.201910972595215","7.201910972595215"
"46","7.195176601409912","7.195176601409912","7.195176601409912"
"47","7.116899490356445","7.116899490356445","7.116899490356445"
"48","7.134304046630859","7.134304046630859","7.134304046630859"
"49","7.139830589294434","7.139830589294434","7.139830589294434"
"50","7.1365227699279785","7.1365227699279785","7.1365227699279785"
"51","7.057714939117432","7.057714939117432","7.057714939117432"
"52","7.043767929077148","7.043767929077148","7.043767929077148"
"53","7.008453369140625","7.008453369140625","7.008453369140625"
"54","6.989416599273682","6.989416599273682","6.989416599273682"
"55","6.959474086761475","6.959474086761475","6.959474086761475"
"56","6.943357944488525","6.943357944488525","6.943357944488525"
"57","6.9343366622924805","6.9343366622924805","6.9343366622924805"
"58","6.914719104766846","6.914719104766846","6.914719104766846"
"59","6.859934329986572","6.859934329986572","6.859934329986572"
"60","6.884927272796631","6.884927272796631","6.884927272796631"
"61","6.860904693603516","6.860904693603516","6.860904693603516"
"62","6.8313822746276855","6.8313822746276855","6.8313822746276855"
"63","6.827369689941406","6.827369689941406","6.827369689941406"
"64","6.80087947845459","6.80087947845459","6.80087947845459"
"65","6.7921953201293945","6.7921953201293945","6.7921953201293945"
"66","6.734076499938965","6.734076499938965","6.734076499938965"
"67","6.768087387084961","6.768087387084961","6.768087387084961"
"68","6.719882488250732","6.719882488250732","6.719882488250732"
"69","6.659628391265869","6.659628391265869","6.659628391265869"
"70","6.65269660949707","6.65269660949707","6.65269660949707"
"71","6.637196063995361","6.637196063995361","6.637196063995361"
"72","6.625225067138672","6.625225067138672","6.625225067138672"
"73","6.585691928863525","6.585691928863525","6.585691928863525"
"74","6.608341217041016","6.608341217041016","6.608341217041016"
"75","6.563429355621338","6.563429355621338","6.563429355621338"
"76","6.552661895751953","6.552661895751953","6.552661895751953"
"77","6.553762912750244","6.553762912750244","6.553762912750244"
"78","6.509921550750732","6.509921550750732","6.509921550750732"
"79","6.496453285217285","6.496453285217285","6.496453285217285"
"80","6.4589619636535645","6.4589619636535645","6.4589619636535645"
"81","6.471027374267578","6.471027374267578","6.471027374267578"
"82","6.511172771453857","6.511172771453857","6.511172771453857"
"83","6.503819465637207","6.503819465637207","6.503819465637207"
"84","6.5263590812683105","6.5263590812683105","6.5263590812683105"
"85","6.4442853927612305","6.4442853927612305","6.4442853927612305"
"86","6.452090263366699","6.452090263366699","6.452090263366699"
"87","6.396482467651367","6.396482467651367","6.396482467651367"
"88","6.4196248054504395","6.4196248054504395","6.4196248054504395"
"89","6.386528968811035","6.386528968811035","6.386528968811035"
"90","6.390320301055908","6.390320301055908","6.390320301055908"
"91","6.37082052230835","6.37082052230835","6.37082052230835"
"92","6.388762950897217","6.388762950897217","6.388762950897217"
"93","6.374964714050293","6.374964714050293","6.374964714050293"
"94","6.336156368255615","6.336156368255615","6.336156368255615"
