"Step","saturate_moe1Bsparse_15B - throughput/device/TPS","saturate_moe1Bsparse_15B - throughput/device/TPS__MIN","saturate_moe1Bsparse_15B - throughput/device/TPS__MAX","saturate_moe1Bolmo_15B - throughput/device/TPS","saturate_moe1Bolmo_15B - throughput/device/TPS__MIN","saturate_moe1Bolmo_15B - throughput/device/TPS__MAX","saturate_135M_15B_03 - throughput/device/TPS","saturate_135M_15B_03 - throughput/device/TPS__MIN","saturate_135M_15B_03 - throughput/device/TPS__MAX","saturate_1B_15B.py - throughput/device/TPS","saturate_1B_15B.py - throughput/device/TPS__MIN","saturate_1B_15B.py - throughput/device/TPS__MAX","saturate_271M_15_2_cont - throughput/device/TPS","saturate_271M_15_2_cont - throughput/device/TPS__MIN","saturate_271M_15_2_cont - throughput/device/TPS__MAX","saturate_271M_15B_2 - throughput/device/TPS","saturate_271M_15B_2 - throughput/device/TPS__MIN","saturate_271M_15B_2 - throughput/device/TPS__MAX"
"34","95640.0859375","95640.0859375","95640.0859375","52105.83984375","52105.83984375","52105.83984375","190001.40625","190001.40625","190001.40625","21363.513671875","21363.513671875","21363.513671875","","","","96362.984375","96362.984375","96362.984375"
"35","95368.84375","95368.84375","95368.84375","52128.42578125","52128.42578125","52128.42578125","190053.609375","190053.609375","190053.609375","21363.865234375","21363.865234375","21363.865234375","","","","96333.59375","96333.59375","96333.59375"
"36","95580.2265625","95580.2265625","95580.2265625","52087.91015625","52087.91015625","52087.91015625","189717.75","189717.75","189717.75","21362.2265625","21362.2265625","21362.2265625","","","","96159.6640625","96159.6640625","96159.6640625"
"37","95229.1875","95229.1875","95229.1875","52066.2578125","52066.2578125","52066.2578125","191365.03125","191365.03125","191365.03125","21363.490234375","21363.490234375","21363.490234375","","","","96323.9296875","96323.9296875","96323.9296875"
"38","95255.234375","95255.234375","95255.234375","52107.73828125","52107.73828125","52107.73828125","189148.90625","189148.90625","189148.90625","21365.251953125","21365.251953125","21365.251953125","","","","96297.1171875","96297.1171875","96297.1171875"
"39","96738.859375","96738.859375","96738.859375","52107.96875","52107.96875","52107.96875","189925.265625","189925.265625","189925.265625","21364.439453125","21364.439453125","21364.439453125","","","","96232.21875","96232.21875","96232.21875"
"40","95484.2734375","95484.2734375","95484.2734375","52124.48828125","52124.48828125","52124.48828125","189912.65625","189912.65625","189912.65625","21364.61328125","21364.61328125","21364.61328125","","","","96585.96875","96585.96875","96585.96875"
"41","94906.8046875","94906.8046875","94906.8046875","52092.17578125","52092.17578125","52092.17578125","190602.359375","190602.359375","190602.359375","21360.46875","21360.46875","21360.46875","","","","95758.5546875","95758.5546875","95758.5546875"
"42","96032.765625","96032.765625","96032.765625","52098.40234375","52098.40234375","52098.40234375","189359.84375","189359.84375","189359.84375","21363.078125","21363.078125","21363.078125","","","","96260.78125","96260.78125","96260.78125"
"43","95175.84375","95175.84375","95175.84375","52110.5078125","52110.5078125","52110.5078125","189805.203125","189805.203125","189805.203125","21362.373046875","21362.373046875","21362.373046875","","","","96134.65625","96134.65625","96134.65625"
"44","95653.171875","95653.171875","95653.171875","52133.83984375","52133.83984375","52133.83984375","190252.484375","190252.484375","190252.484375","21362.177734375","21362.177734375","21362.177734375","","","","96404.5234375","96404.5234375","96404.5234375"
"45","95447.625","95447.625","95447.625","52086.328125","52086.328125","52086.328125","190037.15625","190037.15625","190037.15625","21362.23828125","21362.23828125","21362.23828125","","","","96211.7421875","96211.7421875","96211.7421875"
"46","95068.640625","95068.640625","95068.640625","51955.13671875","51955.13671875","51955.13671875","189608.796875","189608.796875","189608.796875","21359.9921875","21359.9921875","21359.9921875","","","","96047.125","96047.125","96047.125"
"47","95530.03125","95530.03125","95530.03125","52036.67578125","52036.67578125","52036.67578125","189727.578125","189727.578125","189727.578125","21360.6875","21360.6875","21360.6875","","","","96204.4609375","96204.4609375","96204.4609375"
"48","95350.0703125","95350.0703125","95350.0703125","52021.39453125","52021.39453125","52021.39453125","189813.96875","189813.96875","189813.96875","21358.734375","21358.734375","21358.734375","","","","96131.6328125","96131.6328125","96131.6328125"
"49","95728.3828125","95728.3828125","95728.3828125","51976.7265625","51976.7265625","51976.7265625","190491.421875","190491.421875","190491.421875","21359.0234375","21359.0234375","21359.0234375","","","","96605.6328125","96605.6328125","96605.6328125"
"50","95514.5859375","95514.5859375","95514.5859375","51910.99609375","51910.99609375","51910.99609375","190823.21875","190823.21875","190823.21875","21360.830078125","21360.830078125","21360.830078125","","","","95975.8125","95975.8125","95975.8125"
"51","95134.8046875","95134.8046875","95134.8046875","51893.046875","51893.046875","51893.046875","188999.109375","188999.109375","188999.109375","21357.84375","21357.84375","21357.84375","","","","96007.65625","96007.65625","96007.65625"
"52","95593.75","95593.75","95593.75","51865.64453125","51865.64453125","51865.64453125","189222.625","189222.625","189222.625","21362.470703125","21362.470703125","21362.470703125","","","","96133.03125","96133.03125","96133.03125"
"53","95741.3828125","95741.3828125","95741.3828125","51949.984375","51949.984375","51949.984375","189913.046875","189913.046875","189913.046875","21363.24609375","21363.24609375","21363.24609375","","","","96123.8125","96123.8125","96123.8125"
"54","95742.9140625","95742.9140625","95742.9140625","51880.015625","51880.015625","51880.015625","189790.609375","189790.609375","189790.609375","21363.58203125","21363.58203125","21363.58203125","","","","96337.703125","96337.703125","96337.703125"
"55","95487.1328125","95487.1328125","95487.1328125","51885.60546875","51885.60546875","51885.60546875","189781.15625","189781.15625","189781.15625","21362.84765625","21362.84765625","21362.84765625","","","","96081.828125","96081.828125","96081.828125"
"56","95246.7890625","95246.7890625","95246.7890625","51872.73046875","51872.73046875","51872.73046875","189520.71875","189520.71875","189520.71875","21359.462890625","21359.462890625","21359.462890625","","","","95981.84375","95981.84375","95981.84375"
"57","95863.1484375","95863.1484375","95863.1484375","51917.03515625","51917.03515625","51917.03515625","191168.90625","191168.90625","191168.90625","21361.091796875","21361.091796875","21361.091796875","","","","96295.65625","96295.65625","96295.65625"
"58","95564.9765625","95564.9765625","95564.9765625","51865.28515625","51865.28515625","51865.28515625","190650.34375","190650.34375","190650.34375","21360.287109375","21360.287109375","21360.287109375","","","","96046.265625","96046.265625","96046.265625"
"59","94702.21875","94702.21875","94702.21875","51869.24609375","51869.24609375","51869.24609375","190298.03125","190298.03125","190298.03125","21360.501953125","21360.501953125","21360.501953125","","","","96188.296875","96188.296875","96188.296875"
"60","93578.3671875","93578.3671875","93578.3671875","51857.984375","51857.984375","51857.984375","189012.609375","189012.609375","189012.609375","21361.06640625","21361.06640625","21361.06640625","","","","95810.8828125","95810.8828125","95810.8828125"
"61","92314.2734375","92314.2734375","92314.2734375","51740.16015625","51740.16015625","51740.16015625","189245","189245","189245","21357.310546875","21357.310546875","21357.310546875","","","","96264.8125","96264.8125","96264.8125"
"62","93076.8125","93076.8125","93076.8125","51793.4375","51793.4375","51793.4375","189558.46875","189558.46875","189558.46875","21360.580078125","21360.580078125","21360.580078125","","","","96239.1875","96239.1875","96239.1875"
"63","93319.6875","93319.6875","93319.6875","51812.03125","51812.03125","51812.03125","189786.34375","189786.34375","189786.34375","21360.005859375","21360.005859375","21360.005859375","","","","95987.7265625","95987.7265625","95987.7265625"
"64","93583.71875","93583.71875","93583.71875","51721.05859375","51721.05859375","51721.05859375","189744.546875","189744.546875","189744.546875","21358.4921875","21358.4921875","21358.4921875","","","","96135.234375","96135.234375","96135.234375"
"65","93410.203125","93410.203125","93410.203125","51773.8125","51773.8125","51773.8125","189929.3125","189929.3125","189929.3125","21360.00390625","21360.00390625","21360.00390625","","","","96115.9140625","96115.9140625","96115.9140625"
"66","92959.078125","92959.078125","92959.078125","51683.38671875","51683.38671875","51683.38671875","189151.234375","189151.234375","189151.234375","21358.9921875","21358.9921875","21358.9921875","","","","96498.953125","96498.953125","96498.953125"
"67","92976.3125","92976.3125","92976.3125","51700.8984375","51700.8984375","51700.8984375","191815.28125","191815.28125","191815.28125","21358.220703125","21358.220703125","21358.220703125","","","","95888.3828125","95888.3828125","95888.3828125"
"68","92958.6015625","92958.6015625","92958.6015625","51724.171875","51724.171875","51724.171875","188322.671875","188322.671875","188322.671875","21266.16015625","21266.16015625","21266.16015625","","","","96270.46875","96270.46875","96270.46875"
"69","93335.5546875","93335.5546875","93335.5546875","51654.20703125","51654.20703125","51654.20703125","189737.4375","189737.4375","189737.4375","21357.888671875","21357.888671875","21357.888671875","","","","96274.4296875","96274.4296875","96274.4296875"
"70","93383.703125","93383.703125","93383.703125","51781.3203125","51781.3203125","51781.3203125","189533.71875","189533.71875","189533.71875","21357.857421875","21357.857421875","21357.857421875","","","","95921.1953125","95921.1953125","95921.1953125"
"71","92982.7734375","92982.7734375","92982.7734375","51661.56640625","51661.56640625","51661.56640625","189348.4375","189348.4375","189348.4375","21354.80078125","21354.80078125","21354.80078125","","","","96245.5390625","96245.5390625","96245.5390625"
"72","93085.4921875","93085.4921875","93085.4921875","51694.58203125","51694.58203125","51694.58203125","189560.453125","189560.453125","189560.453125","21357.330078125","21357.330078125","21357.330078125","","","","96198.875","96198.875","96198.875"
"73","93130.1484375","93130.1484375","93130.1484375","51677.57421875","51677.57421875","51677.57421875","190524.1875","190524.1875","190524.1875","21358.169921875","21358.169921875","21358.169921875","","","","96378.609375","96378.609375","96378.609375"
"74","92949.7734375","92949.7734375","92949.7734375","51727.67578125","51727.67578125","51727.67578125","189185.90625","189185.90625","189185.90625","21355.931640625","21355.931640625","21355.931640625","","","","95915.5859375","95915.5859375","95915.5859375"
"75","93746.3359375","93746.3359375","93746.3359375","51757.86328125","51757.86328125","51757.86328125","189957.859375","189957.859375","189957.859375","21355.37109375","21355.37109375","21355.37109375","","","","96645.171875","96645.171875","96645.171875"
"76","94964.2578125","94964.2578125","94964.2578125","51692.28125","51692.28125","51692.28125","189529.953125","189529.953125","189529.953125","21353.546875","21353.546875","21353.546875","","","","95898.5859375","95898.5859375","95898.5859375"
"77","96010.9609375","96010.9609375","96010.9609375","51695.16796875","51695.16796875","51695.16796875","188896.625","188896.625","188896.625","21355.849609375","21355.849609375","21355.849609375","","","","96375.25","96375.25","96375.25"
"78","95456.4453125","95456.4453125","95456.4453125","51697.51171875","51697.51171875","51697.51171875","190414.03125","190414.03125","190414.03125","21359.01953125","21359.01953125","21359.01953125","","","","96368.3671875","96368.3671875","96368.3671875"
"79","95132.8515625","95132.8515625","95132.8515625","51717.09765625","51717.09765625","51717.09765625","190616.90625","190616.90625","190616.90625","21357.478515625","21357.478515625","21357.478515625","","","","96278.390625","96278.390625","96278.390625"
"80","97015.296875","97015.296875","97015.296875","51723.33203125","51723.33203125","51723.33203125","188624.46875","188624.46875","188624.46875","21356.431640625","21356.431640625","21356.431640625","","","","96574.171875","96574.171875","96574.171875"
"81","94921.046875","94921.046875","94921.046875","51660.91015625","51660.91015625","51660.91015625","189209.921875","189209.921875","189209.921875","21352.826171875","21352.826171875","21352.826171875","","","","96095.7578125","96095.7578125","96095.7578125"
"82","95668.4765625","95668.4765625","95668.4765625","51663.48046875","51663.48046875","51663.48046875","190213.984375","190213.984375","190213.984375","21357.1640625","21357.1640625","21357.1640625","","","","96100.2734375","96100.2734375","96100.2734375"
"83","95420.21875","95420.21875","95420.21875","51682.078125","51682.078125","51682.078125","188799.21875","188799.21875","188799.21875","21357.619140625","21357.619140625","21357.619140625","","","","96678.390625","96678.390625","96678.390625"
"84","95334.7421875","95334.7421875","95334.7421875","51584.90234375","51584.90234375","51584.90234375","189255.140625","189255.140625","189255.140625","21357.857421875","21357.857421875","21357.857421875","","","","96267.515625","96267.515625","96267.515625"
"85","95578.7890625","95578.7890625","95578.7890625","51629.72265625","51629.72265625","51629.72265625","189663.46875","189663.46875","189663.46875","21357.111328125","21357.111328125","21357.111328125","","","","95867.1640625","95867.1640625","95867.1640625"
"86","94668.3984375","94668.3984375","94668.3984375","51650.62890625","51650.62890625","51650.62890625","189048.0625","189048.0625","189048.0625","21353.08984375","21353.08984375","21353.08984375","","","","96167.0859375","96167.0859375","96167.0859375"
"87","95917.1328125","95917.1328125","95917.1328125","51706.87109375","51706.87109375","51706.87109375","191866.984375","191866.984375","191866.984375","21356.412109375","21356.412109375","21356.412109375","","","","96243.46875","96243.46875","96243.46875"
"88","95087.046875","95087.046875","95087.046875","51688.74609375","51688.74609375","51688.74609375","189505.953125","189505.953125","189505.953125","21355.998046875","21355.998046875","21355.998046875","","","","96138.09375","96138.09375","96138.09375"
"89","95067.2890625","95067.2890625","95067.2890625","51629.24609375","51629.24609375","51629.24609375","188742.078125","188742.078125","188742.078125","21356.126953125","21356.126953125","21356.126953125","","","","96330.4765625","96330.4765625","96330.4765625"
"90","94963.6484375","94963.6484375","94963.6484375","51744.16796875","51744.16796875","51744.16796875","190562.65625","190562.65625","190562.65625","21357.0234375","21357.0234375","21357.0234375","","","","96411.9375","96411.9375","96411.9375"
"91","94779.5546875","94779.5546875","94779.5546875","51556.7421875","51556.7421875","51556.7421875","188833.828125","188833.828125","188833.828125","21352.10546875","21352.10546875","21352.10546875","","","","96061.3671875","96061.3671875","96061.3671875"
"92","95151.8828125","95151.8828125","95151.8828125","51587.0703125","51587.0703125","51587.0703125","189375.21875","189375.21875","189375.21875","21356.27734375","21356.27734375","21356.27734375","","","","96189.2109375","96189.2109375","96189.2109375"
"93","95031.8203125","95031.8203125","95031.8203125","51557.859375","51557.859375","51557.859375","189396.53125","189396.53125","189396.53125","21356.28125","21356.28125","21356.28125","","","","96324.4453125","96324.4453125","96324.4453125"
"94","95693.140625","95693.140625","95693.140625","51444.36328125","51444.36328125","51444.36328125","189584.96875","189584.96875","189584.96875","21354.03125","21354.03125","21354.03125","","","","96084.4296875","96084.4296875","96084.4296875"
"95","95054.6015625","95054.6015625","95054.6015625","51503.59765625","51503.59765625","51503.59765625","189876.734375","189876.734375","189876.734375","21355.716796875","21355.716796875","21355.716796875","","","","96468.671875","96468.671875","96468.671875"
"96","94777.6328125","94777.6328125","94777.6328125","51462.76171875","51462.76171875","51462.76171875","188758.609375","188758.609375","188758.609375","21352.34765625","21352.34765625","21352.34765625","","","","95893.890625","95893.890625","95893.890625"
"97","95509.984375","95509.984375","95509.984375","51536.19140625","51536.19140625","51536.19140625","189640.21875","189640.21875","189640.21875","21355.15625","21355.15625","21355.15625","","","","96279.3984375","96279.3984375","96279.3984375"
"98","95563.5546875","95563.5546875","95563.5546875","51650.796875","51650.796875","51650.796875","191346.171875","191346.171875","191346.171875","21354.81640625","21354.81640625","21354.81640625","","","","95791.9765625","95791.9765625","95791.9765625"
"99","95745.5","95745.5","95745.5","51748.76171875","51748.76171875","51748.76171875","189432.140625","189432.140625","189432.140625","21355.14453125","21355.14453125","21355.14453125","","","","96438.1328125","96438.1328125","96438.1328125"
"100","41720.53515625","41720.53515625","41720.53515625","31328.1875","31328.1875","31328.1875","136881.265625","136881.265625","136881.265625","17848.611328125","17848.611328125","17848.611328125","","","","59866.83984375","59866.83984375","59866.83984375"
"101","60735.1484375","60735.1484375","60735.1484375","44325.1171875","44325.1171875","44325.1171875","120174.328125","120174.328125","120174.328125","17787.466796875","17787.466796875","17787.466796875","","","","63955.3515625","63955.3515625","63955.3515625"
"102","95428.1015625","95428.1015625","95428.1015625","51718.6171875","51718.6171875","51718.6171875","185993.25","185993.25","185993.25","21146.421875","21146.421875","21146.421875","","","","96512.796875","96512.796875","96512.796875"
"103","95704.1875","95704.1875","95704.1875","51641.31640625","51641.31640625","51641.31640625","189378.109375","189378.109375","189378.109375","21320.373046875","21320.373046875","21320.373046875","","","","96276.9375","96276.9375","96276.9375"
"104","95333.0546875","95333.0546875","95333.0546875","51582.12890625","51582.12890625","51582.12890625","190013.59375","190013.59375","190013.59375","21351.654296875","21351.654296875","21351.654296875","","","","96268.3671875","96268.3671875","96268.3671875"
"105","96620.4296875","96620.4296875","96620.4296875","51513.9140625","51513.9140625","51513.9140625","189750.4375","189750.4375","189750.4375","21354.427734375","21354.427734375","21354.427734375","","","","95893.640625","95893.640625","95893.640625"
"106","94744.3125","94744.3125","94744.3125","51047.8125","51047.8125","51047.8125","189499.921875","189499.921875","189499.921875","21353.44140625","21353.44140625","21353.44140625","","","","96173.78125","96173.78125","96173.78125"
"107","95288.9375","95288.9375","95288.9375","51508.90234375","51508.90234375","51508.90234375","190152.265625","190152.265625","190152.265625","21356.640625","21356.640625","21356.640625","","","","96103.609375","96103.609375","96103.609375"
"108","95330.953125","95330.953125","95330.953125","51437.36328125","51437.36328125","51437.36328125","190616.84375","190616.84375","190616.84375","21355.919921875","21355.919921875","21355.919921875","","","","95929.703125","95929.703125","95929.703125"
"109","95493.234375","95493.234375","95493.234375","51454.4140625","51454.4140625","51454.4140625","188934.875","188934.875","188934.875","21354.806640625","21354.806640625","21354.806640625","","","","96153.796875","96153.796875","96153.796875"
"110","95327.65625","95327.65625","95327.65625","50947.921875","50947.921875","50947.921875","190530.296875","190530.296875","190530.296875","21356.353515625","21356.353515625","21356.353515625","","","","96199.859375","96199.859375","96199.859375"
"111","94745.6171875","94745.6171875","94745.6171875","51470.4921875","51470.4921875","51470.4921875","188996.734375","188996.734375","188996.734375","21351.5234375","21351.5234375","21351.5234375","","","","95965.734375","95965.734375","95965.734375"
"112","95952.4453125","95952.4453125","95952.4453125","51530.19140625","51530.19140625","51530.19140625","189635.609375","189635.609375","189635.609375","21356.765625","21356.765625","21356.765625","","","","96155.515625","96155.515625","96155.515625"
"113","96046.8515625","96046.8515625","96046.8515625","51633.859375","51633.859375","51633.859375","190069.75","190069.75","190069.75","21355.931640625","21355.931640625","21355.931640625","","","","96391.609375","96391.609375","96391.609375"
"114","95583.1484375","95583.1484375","95583.1484375","51557.05078125","51557.05078125","51557.05078125","189182.015625","189182.015625","189182.015625","21355.734375","21355.734375","21355.734375","","","","96277.1640625","96277.1640625","96277.1640625"
"115","95968.328125","95968.328125","95968.328125","51438.12890625","51438.12890625","51438.12890625","189476.359375","189476.359375","189476.359375","21356.193359375","21356.193359375","21356.193359375","","","","95686.515625","95686.515625","95686.515625"
"116","95372.6015625","95372.6015625","95372.6015625","51463.20703125","51463.20703125","51463.20703125","189213.5625","189213.5625","189213.5625","21355.5390625","21355.5390625","21355.5390625","","","","95963.4296875","95963.4296875","95963.4296875"
"117","95647.9609375","95647.9609375","95647.9609375","51429.21875","51429.21875","51429.21875","189591.71875","189591.71875","189591.71875","21356.158203125","21356.158203125","21356.158203125","","","","96255.015625","96255.015625","96255.015625"
"118","95779.734375","95779.734375","95779.734375","51384.171875","51384.171875","51384.171875","189565.671875","189565.671875","189565.671875","21355.24609375","21355.24609375","21355.24609375","","","","95824.3984375","95824.3984375","95824.3984375"
"119","95984.7578125","95984.7578125","95984.7578125","51428.90625","51428.90625","51428.90625","189634.3125","189634.3125","189634.3125","21355.5625","21355.5625","21355.5625","","","","96352.953125","96352.953125","96352.953125"
"120","95663.3203125","95663.3203125","95663.3203125","51391.1875","51391.1875","51391.1875","191426.609375","191426.609375","191426.609375","21355.228515625","21355.228515625","21355.228515625","","","","96311.4765625","96311.4765625","96311.4765625"
"121","94743.6328125","94743.6328125","94743.6328125","51359.328125","51359.328125","51359.328125","187891.28125","187891.28125","187891.28125","21350.744140625","21350.744140625","21350.744140625","","","","95616.2421875","95616.2421875","95616.2421875"
"122","95243.375","95243.375","95243.375","51380.4765625","51380.4765625","51380.4765625","189679.546875","189679.546875","189679.546875","21356.654296875","21356.654296875","21356.654296875","","","","95797.84375","95797.84375","95797.84375"
"123","95768.578125","95768.578125","95768.578125","51376.53515625","51376.53515625","51376.53515625","190126.28125","190126.28125","190126.28125","21355.232421875","21355.232421875","21355.232421875","","","","96240.9765625","96240.9765625","96240.9765625"
"124","96114.7890625","96114.7890625","96114.7890625","51323.51171875","51323.51171875","51323.51171875","188960.234375","188960.234375","188960.234375","21355.173828125","21355.173828125","21355.173828125","","","","96175.9296875","96175.9296875","96175.9296875"
"125","95200.71875","95200.71875","95200.71875","51298.6015625","51298.6015625","51298.6015625","189591.875","189591.875","189591.875","21356.017578125","21356.017578125","21356.017578125","","","","95681.71875","95681.71875","95681.71875"
"126","94923.4140625","94923.4140625","94923.4140625","51268.0546875","51268.0546875","51268.0546875","188897.359375","188897.359375","188897.359375","21351.486328125","21351.486328125","21351.486328125","","","","96099.046875","96099.046875","96099.046875"
