"Step","saturate_moe1Bsparse_15B - throughput/device/TPS","saturate_moe1Bsparse_15B - throughput/device/TPS__MIN","saturate_moe1Bsparse_15B - throughput/device/TPS__MAX","saturate_moe1Bolmo_15B - throughput/device/TPS","saturate_moe1Bolmo_15B - throughput/device/TPS__MIN","saturate_moe1Bolmo_15B - throughput/device/TPS__MAX","saturate_135M_15B_03 - throughput/device/TPS","saturate_135M_15B_03 - throughput/device/TPS__MIN","saturate_135M_15B_03 - throughput/device/TPS__MAX","saturate_271M_15_2_cont - throughput/device/TPS","saturate_271M_15_2_cont - throughput/device/TPS__MIN","saturate_271M_15_2_cont - throughput/device/TPS__MAX","saturate_271M_15B_2 - throughput/device/TPS","saturate_271M_15B_2 - throughput/device/TPS__MIN","saturate_271M_15B_2 - throughput/device/TPS__MAX"
"38","95255.234375","95255.234375","95255.234375","52107.73828125","52107.73828125","52107.73828125","189148.90625","189148.90625","189148.90625","","","","96297.1171875","96297.1171875","96297.1171875"
"39","96738.859375","96738.859375","96738.859375","52107.96875","52107.96875","52107.96875","189925.265625","189925.265625","189925.265625","","","","96232.21875","96232.21875","96232.21875"
"40","95484.2734375","95484.2734375","95484.2734375","52124.48828125","52124.48828125","52124.48828125","189912.65625","189912.65625","189912.65625","","","","96585.96875","96585.96875","96585.96875"
"41","94906.8046875","94906.8046875","94906.8046875","52092.17578125","52092.17578125","52092.17578125","190602.359375","190602.359375","190602.359375","","","","95758.5546875","95758.5546875","95758.5546875"
"42","96032.765625","96032.765625","96032.765625","52098.40234375","52098.40234375","52098.40234375","189359.84375","189359.84375","189359.84375","","","","96260.78125","96260.78125","96260.78125"
"43","95175.84375","95175.84375","95175.84375","52110.5078125","52110.5078125","52110.5078125","189805.203125","189805.203125","189805.203125","","","","96134.65625","96134.65625","96134.65625"
"44","95653.171875","95653.171875","95653.171875","52133.83984375","52133.83984375","52133.83984375","190252.484375","190252.484375","190252.484375","","","","96404.5234375","96404.5234375","96404.5234375"
"45","95447.625","95447.625","95447.625","52086.328125","52086.328125","52086.328125","190037.15625","190037.15625","190037.15625","","","","96211.7421875","96211.7421875","96211.7421875"
"46","95068.640625","95068.640625","95068.640625","51955.13671875","51955.13671875","51955.13671875","189608.796875","189608.796875","189608.796875","","","","96047.125","96047.125","96047.125"
"47","95530.03125","95530.03125","95530.03125","52036.67578125","52036.67578125","52036.67578125","189727.578125","189727.578125","189727.578125","","","","96204.4609375","96204.4609375","96204.4609375"
"48","95350.0703125","95350.0703125","95350.0703125","52021.39453125","52021.39453125","52021.39453125","189813.96875","189813.96875","189813.96875","","","","96131.6328125","96131.6328125","96131.6328125"
"49","95728.3828125","95728.3828125","95728.3828125","51976.7265625","51976.7265625","51976.7265625","190491.421875","190491.421875","190491.421875","","","","96605.6328125","96605.6328125","96605.6328125"
"50","95514.5859375","95514.5859375","95514.5859375","51910.99609375","51910.99609375","51910.99609375","190823.21875","190823.21875","190823.21875","","","","95975.8125","95975.8125","95975.8125"
"51","95134.8046875","95134.8046875","95134.8046875","51893.046875","51893.046875","51893.046875","188999.109375","188999.109375","188999.109375","","","","96007.65625","96007.65625","96007.65625"
"52","95593.75","95593.75","95593.75","51865.64453125","51865.64453125","51865.64453125","189222.625","189222.625","189222.625","","","","96133.03125","96133.03125","96133.03125"
"53","95741.3828125","95741.3828125","95741.3828125","51949.984375","51949.984375","51949.984375","189913.046875","189913.046875","189913.046875","","","","96123.8125","96123.8125","96123.8125"
"54","95742.9140625","95742.9140625","95742.9140625","51880.015625","51880.015625","51880.015625","189790.609375","189790.609375","189790.609375","","","","96337.703125","96337.703125","96337.703125"
"55","95487.1328125","95487.1328125","95487.1328125","51885.60546875","51885.60546875","51885.60546875","189781.15625","189781.15625","189781.15625","","","","96081.828125","96081.828125","96081.828125"
"56","95246.7890625","95246.7890625","95246.7890625","51872.73046875","51872.73046875","51872.73046875","189520.71875","189520.71875","189520.71875","","","","95981.84375","95981.84375","95981.84375"
"57","95863.1484375","95863.1484375","95863.1484375","51917.03515625","51917.03515625","51917.03515625","191168.90625","191168.90625","191168.90625","","","","96295.65625","96295.65625","96295.65625"
"58","95564.9765625","95564.9765625","95564.9765625","51865.28515625","51865.28515625","51865.28515625","190650.34375","190650.34375","190650.34375","","","","96046.265625","96046.265625","96046.265625"
"59","94702.21875","94702.21875","94702.21875","51869.24609375","51869.24609375","51869.24609375","190298.03125","190298.03125","190298.03125","","","","96188.296875","96188.296875","96188.296875"
"60","93578.3671875","93578.3671875","93578.3671875","51857.984375","51857.984375","51857.984375","189012.609375","189012.609375","189012.609375","","","","95810.8828125","95810.8828125","95810.8828125"
"61","92314.2734375","92314.2734375","92314.2734375","51740.16015625","51740.16015625","51740.16015625","189245","189245","189245","","","","96264.8125","96264.8125","96264.8125"
"62","93076.8125","93076.8125","93076.8125","51793.4375","51793.4375","51793.4375","189558.46875","189558.46875","189558.46875","","","","96239.1875","96239.1875","96239.1875"
"63","93319.6875","93319.6875","93319.6875","51812.03125","51812.03125","51812.03125","189786.34375","189786.34375","189786.34375","","","","95987.7265625","95987.7265625","95987.7265625"
