"Step","saturate_moe1Bsparse_15B - train/CE loss","saturate_moe1Bsparse_15B - train/CE loss__MIN","saturate_moe1Bsparse_15B - train/CE loss__MAX","saturate_moe1Bolmo_15B - train/CE loss","saturate_moe1Bolmo_15B - train/CE loss__MIN","saturate_moe1Bolmo_15B - train/CE loss__MAX","saturate_135M_15B_03 - train/CE loss","saturate_135M_15B_03 - train/CE loss__MIN","saturate_135M_15B_03 - train/CE loss__MAX","saturate_1B_15B.py - train/CE loss","saturate_1B_15B.py - train/CE loss__MIN","saturate_1B_15B.py - train/CE loss__MAX","saturate_271M_15_2_cont - train/CE loss","saturate_271M_15_2_cont - train/CE loss__MIN","saturate_271M_15_2_cont - train/CE loss__MAX","saturate_271M_15B_2 - train/CE loss","saturate_271M_15B_2 - train/CE loss__MIN","saturate_271M_15B_2 - train/CE loss__MAX"
"1","10.982831001281738","10.982831001281738","10.982831001281738","11.045915603637695","11.045915603637695","11.045915603637695","10.99261474609375","10.99261474609375","10.99261474609375","11.220311164855957","11.220311164855957","11.220311164855957","","","","11.021903038024902","11.021903038024902","11.021903038024902"
"2","10.92990493774414","10.92990493774414","10.92990493774414","10.897859573364258","10.897859573364258","10.897859573364258","10.927889823913574","10.927889823913574","10.927889823913574","10.889612197875977","10.889612197875977","10.889612197875977","","","","10.902741432189941","10.902741432189941","10.902741432189941"
"3","10.8147554397583","10.8147554397583","10.8147554397583","10.587102890014648","10.587102890014648","10.587102890014648","10.78377914428711","10.78377914428711","10.78377914428711","10.225995063781738","10.225995063781738","10.225995063781738","","","","10.639601707458496","10.639601707458496","10.639601707458496"
"4","10.647744178771973","10.647744178771973","10.647744178771973","10.201762199401855","10.201762199401855","10.201762199401855","10.575376510620117","10.575376510620117","10.575376510620117","10.005575180053711","10.005575180053711","10.005575180053711","","","","10.277194023132324","10.277194023132324","10.277194023132324"
"5","10.447831153869629","10.447831153869629","10.447831153869629","9.85261344909668","9.85261344909668","9.85261344909668","10.33032512664795","10.33032512664795","10.33032512664795","9.618255615234375","9.618255615234375","9.618255615234375","","","","9.91236400604248","9.91236400604248","9.91236400604248"
"6","10.238283157348633","10.238283157348633","10.238283157348633","9.552346229553223","9.552346229553223","9.552346229553223","10.076557159423828","10.076557159423828","10.076557159423828","9.498390197753906","9.498390197753906","9.498390197753906","","","","9.645346641540527","9.645346641540527","9.645346641540527"
"7","10.061772346496582","10.061772346496582","10.061772346496582","9.3557710647583","9.3557710647583","9.3557710647583","9.885972023010254","9.885972023010254","9.885972023010254","9.26511287689209","9.26511287689209","9.26511287689209","","","","9.481398582458496","9.481398582458496","9.481398582458496"
"8","9.914523124694824","9.914523124694824","9.914523124694824","9.207120895385742","9.207120895385742","9.207120895385742","9.739985466003418","9.739985466003418","9.739985466003418","9.382233619689941","9.382233619689941","9.382233619689941","","","","9.361897468566895","9.361897468566895","9.361897468566895"
"9","9.783230781555176","9.783230781555176","9.783230781555176","9.07843017578125","9.07843017578125","9.07843017578125","9.631179809570312","9.631179809570312","9.631179809570312","8.960043907165527","8.960043907165527","8.960043907165527","","","","9.264497756958008","9.264497756958008","9.264497756958008"
"10","9.65687370300293","9.65687370300293","9.65687370300293","8.950523376464844","8.950523376464844","8.950523376464844","9.528006553649902","9.528006553649902","9.528006553649902","8.692338943481445","8.692338943481445","8.692338943481445","","","","9.158952713012695","9.158952713012695","9.158952713012695"
"11","9.573240280151367","9.573240280151367","9.573240280151367","8.851777076721191","8.851777076721191","8.851777076721191","9.464014053344727","9.464014053344727","9.464014053344727","8.670843124389648","8.670843124389648","8.670843124389648","","","","9.088397026062012","9.088397026062012","9.088397026062012"
"12","9.481653213500977","9.481653213500977","9.481653213500977","8.726207733154297","8.726207733154297","8.726207733154297","9.37829303741455","9.37829303741455","9.37829303741455","8.480876922607422","8.480876922607422","8.480876922607422","","","","8.990718841552734","8.990718841552734","8.990718841552734"
"13","9.38167953491211","9.38167953491211","9.38167953491211","8.575838088989258","8.575838088989258","8.575838088989258","9.281946182250977","9.281946182250977","9.281946182250977","8.280513763427734","8.280513763427734","8.280513763427734","","","","8.870527267456055","8.870527267456055","8.870527267456055"
"14","9.309249877929688","9.309249877929688","9.309249877929688","8.461875915527344","8.461875915527344","8.461875915527344","9.192440032958984","9.192440032958984","9.192440032958984","8.125720024108887","8.125720024108887","8.125720024108887","","","","8.761093139648438","8.761093139648438","8.761093139648438"
"15","9.217534065246582","9.217534065246582","9.217534065246582","8.310577392578125","8.310577392578125","8.310577392578125","9.077821731567383","9.077821731567383","9.077821731567383","8.003978729248047","8.003978729248047","8.003978729248047","","","","8.628259658813477","8.628259658813477","8.628259658813477"
"16","9.104833602905273","9.104833602905273","9.104833602905273","8.157986640930176","8.157986640930176","8.157986640930176","8.949613571166992","8.949613571166992","8.949613571166992","7.927079200744629","7.927079200744629","7.927079200744629","","","","8.484856605529785","8.484856605529785","8.484856605529785"
"17","8.990915298461914","8.990915298461914","8.990915298461914","8.040467262268066","8.040467262268066","8.040467262268066","8.83332633972168","8.83332633972168","8.83332633972168","7.836979866027832","7.836979866027832","7.836979866027832","","","","8.360486030578613","8.360486030578613","8.360486030578613"
"18","8.881624221801758","8.881624221801758","8.881624221801758","7.924900054931641","7.924900054931641","7.924900054931641","8.715688705444336","8.715688705444336","8.715688705444336","7.746621131896973","7.746621131896973","7.746621131896973","","","","8.245112419128418","8.245112419128418","8.245112419128418"
"19","8.773463249206543","8.773463249206543","8.773463249206543","7.812270164489746","7.812270164489746","7.812270164489746","8.594205856323242","8.594205856323242","8.594205856323242","7.688690185546875","7.688690185546875","7.688690185546875","","","","8.122517585754395","8.122517585754395","8.122517585754395"
"20","8.6666259765625","8.6666259765625","8.6666259765625","7.699442386627197","7.699442386627197","7.699442386627197","8.465622901916504","8.465622901916504","8.465622901916504","7.678908824920654","7.678908824920654","7.678908824920654","","","","7.996016502380371","7.996016502380371","7.996016502380371"
"21","8.578573226928711","8.578573226928711","8.578573226928711","7.619114875793457","7.619114875793457","7.619114875793457","8.3577241897583","8.3577241897583","8.3577241897583","7.6509013175964355","7.6509013175964355","7.6509013175964355","","","","7.9007110595703125","7.9007110595703125","7.9007110595703125"
"22","8.511940002441406","8.511940002441406","8.511940002441406","7.578664779663086","7.578664779663086","7.578664779663086","8.26681900024414","8.26681900024414","8.26681900024414","7.662346839904785","7.662346839904785","7.662346839904785","","","","7.844858646392822","7.844858646392822","7.844858646392822"
"23","8.410511016845703","8.410511016845703","8.410511016845703","7.483579158782959","7.483579158782959","7.483579158782959","8.136221885681152","8.136221885681152","8.136221885681152","7.603339195251465","7.603339195251465","7.603339195251465","","","","7.749950885772705","7.749950885772705","7.749950885772705"
"24","8.345202445983887","8.345202445983887","8.345202445983887","7.441337585449219","7.441337585449219","7.441337585449219","8.04251766204834","8.04251766204834","8.04251766204834","7.596108436584473","7.596108436584473","7.596108436584473","","","","7.703466892242432","7.703466892242432","7.703466892242432"
