run,label,final_loss,actual_compute,optimal_compute,efficiency
saturate_moe1Bsparse_15B,MoE-1B (sparse),7.756757736206055,0.002228224,3.699331801348022e-10,1.660215400851989e-07
saturate_moe1Bolmo_15B,MoE-1B (OLMo),6.787074089050293,0.002883584,5.346579572650293e-09,1.8541438614759594e-06
saturate_135M_15B_03,135M,3.4512715339660645,0.10082451456,0.004000785319169251,0.03968068020588793
saturate_1B_15B.py,1B,4.558108806610107,0.09218148124444445,1.5347373972785784e-05,0.00016649085874513144
saturate_271M_15B_2,271M (full run),3.266324758529663,0.227260235776,0.012037618609182253,0.05296843316244371
