"Step","saturate_1M_15B_2 - train/CE loss","saturate_1M_15B_2 - train/CE loss__MIN","saturate_1M_15B_2 - train/CE loss__MAX","saturate_60M_15B - train/CE loss","saturate_60M_15B - train/CE loss__MIN","saturate_60M_15B - train/CE loss__MAX","saturate_moe1Bsparse_15B - train/CE loss","saturate_moe1Bsparse_15B - train/CE loss__MIN","saturate_moe1Bsparse_15B - train/CE loss__MAX","saturate_moe1Bolmo_15B - train/CE loss","saturate_moe1Bolmo_15B - train/CE loss__MIN","saturate_moe1Bolmo_15B - train/CE loss__MAX","saturate_135M_15B_03 - train/CE loss","saturate_135M_15B_03 - train/CE loss__MIN","saturate_135M_15B_03 - train/CE loss__MAX","saturate_1B_15B.py - train/CE loss","saturate_1B_15B.py - train/CE loss__MIN","saturate_1B_15B.py - train/CE loss__MAX","saturate_271M_15_2_cont - train/CE loss","saturate_271M_15_2_cont - train/CE loss__MIN","saturate_271M_15_2_cont - train/CE loss__MAX","saturate_271M_15B_2 - train/CE loss","saturate_271M_15B_2 - train/CE loss__MIN","saturate_271M_15B_2 - train/CE loss__MAX"
"15","10.792716979980469","10.792716979980469","10.792716979980469","9.915245056152344","9.915245056152344","9.915245056152344","9.217534065246582","9.217534065246582","9.217534065246582","8.310577392578125","8.310577392578125","8.310577392578125","9.077821731567383","9.077821731567383","9.077821731567383","8.003978729248047","8.003978729248047","8.003978729248047","","","","8.628259658813477","8.628259658813477","8.628259658813477"
"16","10.788413047790527","10.788413047790527","10.788413047790527","9.831993103027344","9.831993103027344","9.831993103027344","9.104833602905273","9.104833602905273","9.104833602905273","8.157986640930176","8.157986640930176","8.157986640930176","8.949613571166992","8.949613571166992","8.949613571166992","7.927079200744629","7.927079200744629","7.927079200744629","","","","8.484856605529785","8.484856605529785","8.484856605529785"
"17","10.785246849060059","10.785246849060059","10.785246849060059","9.754300117492676","9.754300117492676","9.754300117492676","8.990915298461914","8.990915298461914","8.990915298461914","8.040467262268066","8.040467262268066","8.040467262268066","8.83332633972168","8.83332633972168","8.83332633972168","7.836979866027832","7.836979866027832","7.836979866027832","","","","8.360486030578613","8.360486030578613","8.360486030578613"
"18","10.781769752502441","10.781769752502441","10.781769752502441","9.6729736328125","9.6729736328125","9.6729736328125","8.881624221801758","8.881624221801758","8.881624221801758","7.924900054931641","7.924900054931641","7.924900054931641","8.715688705444336","8.715688705444336","8.715688705444336","7.746621131896973","7.746621131896973","7.746621131896973","","","","8.245112419128418","8.245112419128418","8.245112419128418"
"19","10.778290748596191","10.778290748596191","10.778290748596191","9.585044860839844","9.585044860839844","9.585044860839844","8.773463249206543","8.773463249206543","8.773463249206543","7.812270164489746","7.812270164489746","7.812270164489746","8.594205856323242","8.594205856323242","8.594205856323242","7.688690185546875","7.688690185546875","7.688690185546875","","","","8.122517585754395","8.122517585754395","8.122517585754395"
"20","10.773614883422852","10.773614883422852","10.773614883422852","9.492140769958496","9.492140769958496","9.492140769958496","8.6666259765625","8.6666259765625","8.6666259765625","7.699442386627197","7.699442386627197","7.699442386627197","8.465622901916504","8.465622901916504","8.465622901916504","7.678908824920654","7.678908824920654","7.678908824920654","","","","7.996016502380371","7.996016502380371","7.996016502380371"
"21","10.769932746887207","10.769932746887207","10.769932746887207","9.405379295349121","9.405379295349121","9.405379295349121","8.578573226928711","8.578573226928711","8.578573226928711","7.619114875793457","7.619114875793457","7.619114875793457","8.3577241897583","8.3577241897583","8.3577241897583","7.6509013175964355","7.6509013175964355","7.6509013175964355","","","","7.9007110595703125","7.9007110595703125","7.9007110595703125"
"22","10.76562786102295","10.76562786102295","10.76562786102295","9.319594383239746","9.319594383239746","9.319594383239746","8.511940002441406","8.511940002441406","8.511940002441406","7.578664779663086","7.578664779663086","7.578664779663086","8.26681900024414","8.26681900024414","8.26681900024414","7.662346839904785","7.662346839904785","7.662346839904785","","","","7.844858646392822","7.844858646392822","7.844858646392822"
"23","10.760038375854492","10.760038375854492","10.760038375854492","9.213520050048828","9.213520050048828","9.213520050048828","8.410511016845703","8.410511016845703","8.410511016845703","7.483579158782959","7.483579158782959","7.483579158782959","8.136221885681152","8.136221885681152","8.136221885681152","7.603339195251465","7.603339195251465","7.603339195251465","","","","7.749950885772705","7.749950885772705","7.749950885772705"
"24","10.755358695983887","10.755358695983887","10.755358695983887","9.113200187683105","9.113200187683105","9.113200187683105","8.345202445983887","8.345202445983887","8.345202445983887","7.441337585449219","7.441337585449219","7.441337585449219","8.04251766204834","8.04251766204834","8.04251766204834","7.596108436584473","7.596108436584473","7.596108436584473","","","","7.703466892242432","7.703466892242432","7.703466892242432"
"25","10.749825477600098","10.749825477600098","10.749825477600098","9.009405136108398","9.009405136108398","9.009405136108398","8.273584365844727","8.273584365844727","8.273584365844727","7.392480850219727","7.392480850219727","7.392480850219727","7.940299987792969","7.940299987792969","7.940299987792969","7.55731201171875","7.55731201171875","7.55731201171875","","","","7.652673721313477","7.652673721313477","7.652673721313477"
"26","10.744308471679688","10.744308471679688","10.744308471679688","8.911008834838867","8.911008834838867","8.911008834838867","8.212136268615723","8.212136268615723","8.212136268615723","7.36041259765625","7.36041259765625","7.36041259765625","7.864239692687988","7.864239692687988","7.864239692687988","7.539294719696045","7.539294719696045","7.539294719696045","","","","7.63780403137207","7.63780403137207","7.63780403137207"
"27","10.738319396972656","10.738319396972656","10.738319396972656","8.814019203186035","8.814019203186035","8.814019203186035","8.138089179992676","8.138089179992676","8.138089179992676","7.346334934234619","7.346334934234619","7.346334934234619","7.798228740692139","7.798228740692139","7.798228740692139","7.518580913543701","7.518580913543701","7.518580913543701","","","","7.632320404052734","7.632320404052734","7.632320404052734"
"28","10.73130989074707","10.73130989074707","10.73130989074707","8.69355583190918","8.69355583190918","8.69355583190918","8.032376289367676","8.032376289367676","8.032376289367676","7.27456521987915","7.27456521987915","7.27456521987915","7.716131210327148","7.716131210327148","7.716131210327148","7.452807426452637","7.452807426452637","7.452807426452637","","","","7.580807209014893","7.580807209014893","7.580807209014893"
"29","10.724889755249023","10.724889755249023","10.724889755249023","8.600637435913086","8.600637435913086","8.600637435913086","7.971954345703125","7.971954345703125","7.971954345703125","7.2642502784729","7.2642502784729","7.2642502784729","7.701005458831787","7.701005458831787","7.701005458831787","7.461571216583252","7.461571216583252","7.461571216583252","","","","7.5871262550354","7.5871262550354","7.5871262550354"
"30","10.718284606933594","10.718284606933594","10.718284606933594","8.502392768859863","8.502392768859863","8.502392768859863","7.910211086273193","7.910211086273193","7.910211086273193","7.237423896789551","7.237423896789551","7.237423896789551","7.66316032409668","7.66316032409668","7.66316032409668","7.402029514312744","7.402029514312744","7.402029514312744","","","","7.562804222106934","7.562804222106934","7.562804222106934"
"31","10.7108793258667","10.7108793258667","10.7108793258667","8.399989128112793","8.399989128112793","8.399989128112793","7.857908725738525","7.857908725738525","7.857908725738525","7.2381510734558105","7.2381510734558105","7.2381510734558105","7.6334404945373535","7.6334404945373535","7.6334404945373535","7.42162561416626","7.42162561416626","7.42162561416626","","","","7.529150485992432","7.529150485992432","7.529150485992432"
"32","10.704252243041992","10.704252243041992","10.704252243041992","8.328499794006348","8.328499794006348","8.328499794006348","7.842062473297119","7.842062473297119","7.842062473297119","7.227355480194092","7.227355480194092","7.227355480194092","7.652276992797852","7.652276992797852","7.652276992797852","7.38500452041626","7.38500452041626","7.38500452041626","","","","7.5558366775512695","7.5558366775512695","7.5558366775512695"
"33","10.696044921875","10.696044921875","10.696044921875","8.226146697998047","8.226146697998047","8.226146697998047","7.801446914672852","7.801446914672852","7.801446914672852","7.195099353790283","7.195099353790283","7.195099353790283","7.619711875915527","7.619711875915527","7.619711875915527","7.334136009216309","7.334136009216309","7.334136009216309","","","","7.5435919761657715","7.5435919761657715","7.5435919761657715"
"34","10.687753677368164","10.687753677368164","10.687753677368164","8.119732856750488","8.119732856750488","8.119732856750488","7.756757736206055","7.756757736206055","7.756757736206055","7.1091156005859375","7.1091156005859375","7.1091156005859375","7.590786933898926","7.590786933898926","7.590786933898926","7.283349990844727","7.283349990844727","7.283349990844727","","","","7.446957111358643","7.446957111358643","7.446957111358643"
"35","10.678645133972168","10.678645133972168","10.678645133972168","8.028578758239746","8.028578758239746","8.028578758239746","7.726896286010742","7.726896286010742","7.726896286010742","7.079801559448242","7.079801559448242","7.079801559448242","7.593182563781738","7.593182563781738","7.593182563781738","7.2376556396484375","7.2376556396484375","7.2376556396484375","","","","7.437669277191162","7.437669277191162","7.437669277191162"
"36","10.671286582946777","10.671286582946777","10.671286582946777","7.97698974609375","7.97698974609375","7.97698974609375","7.74467134475708","7.74467134475708","7.74467134475708","7.088240146636963","7.088240146636963","7.088240146636963","7.591392517089844","7.591392517089844","7.591392517089844","7.2500176429748535","7.2500176429748535","7.2500176429748535","","","","7.432159900665283","7.432159900665283","7.432159900665283"
"37","10.661870956420898","10.661870956420898","10.661870956420898","7.88302755355835","7.88302755355835","7.88302755355835","7.710203170776367","7.710203170776367","7.710203170776367","7.023934364318848","7.023934364318848","7.023934364318848","7.575713157653809","7.575713157653809","7.575713157653809","7.172848701477051","7.172848701477051","7.172848701477051","","","","7.393178939819336","7.393178939819336","7.393178939819336"
"38","10.653145790100098","10.653145790100098","10.653145790100098","7.819174289703369","7.819174289703369","7.819174289703369","7.71103572845459","7.71103572845459","7.71103572845459","7.007320404052734","7.007320404052734","7.007320404052734","7.560284614562988","7.560284614562988","7.560284614562988","7.171322822570801","7.171322822570801","7.171322822570801","","","","7.401134967803955","7.401134967803955","7.401134967803955"
"39","10.643333435058594","10.643333435058594","10.643333435058594","7.72833251953125","7.72833251953125","7.72833251953125","7.682808876037598","7.682808876037598","7.682808876037598","6.926804542541504","6.926804542541504","6.926804542541504","7.515883445739746","7.515883445739746","7.515883445739746","7.118486404418945","7.118486404418945","7.118486404418945","","","","7.345343112945557","7.345343112945557","7.345343112945557"
"40","10.634407043457031","10.634407043457031","10.634407043457031","7.6850175857543945","7.6850175857543945","7.6850175857543945","7.690711975097656","7.690711975097656","7.690711975097656","6.920596599578857","6.920596599578857","6.920596599578857","7.52028226852417","7.52028226852417","7.52028226852417","7.126055717468262","7.126055717468262","7.126055717468262","","","","7.352199554443359","7.352199554443359","7.352199554443359"
"41","10.62427806854248","10.62427806854248","10.62427806854248","7.616060256958008","7.616060256958008","7.616060256958008","7.669755458831787","7.669755458831787","7.669755458831787","6.870159149169922","6.870159149169922","6.870159149169922","7.474608421325684","7.474608421325684","7.474608421325684","7.062502861022949","7.062502861022949","7.062502861022949","","","","7.305992126464844","7.305992126464844","7.305992126464844"
"42","10.61561107635498","10.61561107635498","10.61561107635498","7.5758466720581055","7.5758466720581055","7.5758466720581055","7.671548366546631","7.671548366546631","7.671548366546631","6.861522197723389","6.861522197723389","6.861522197723389","7.458876609802246","7.458876609802246","7.458876609802246","7.084292888641357","7.084292888641357","7.084292888641357","","","","7.297022342681885","7.297022342681885","7.297022342681885"
"43","10.60593032836914","10.60593032836914","10.60593032836914","7.5442094802856445","7.5442094802856445","7.5442094802856445","7.677290439605713","7.677290439605713","7.677290439605713","6.8457207679748535","6.8457207679748535","6.8457207679748535","7.45229434967041","7.45229434967041","7.45229434967041","7.069713115692139","7.069713115692139","7.069713115692139","","","","7.299997329711914","7.299997329711914","7.299997329711914"
"44","10.59329891204834","10.59329891204834","10.59329891204834","7.462742805480957","7.462742805480957","7.462742805480957","7.635561943054199","7.635561943054199","7.635561943054199","6.787074089050293","6.787074089050293","6.787074089050293","7.384089946746826","7.384089946746826","7.384089946746826","6.992574214935303","6.992574214935303","6.992574214935303","","","","7.228001594543457","7.228001594543457","7.228001594543457"
"45","10.582161903381348","10.582161903381348","10.582161903381348","7.416879177093506","7.416879177093506","7.416879177093506","7.626341819763184","7.626341819763184","7.626341819763184","6.775242805480957","6.775242805480957","6.775242805480957","7.362568378448486","7.362568378448486","7.362568378448486","7.007384300231934","7.007384300231934","7.007384300231934","","","","7.201910972595215","7.201910972595215","7.201910972595215"
"46","10.57223129272461","10.57223129272461","10.57223129272461","7.40122127532959","7.40122127532959","7.40122127532959","7.644392013549805","7.644392013549805","7.644392013549805","6.742997169494629","6.742997169494629","6.742997169494629","7.371607303619385","7.371607303619385","7.371607303619385","6.956287860870361","6.956287860870361","6.956287860870361","","","","7.195176601409912","7.195176601409912","7.195176601409912"
"47","10.559053421020508","10.559053421020508","10.559053421020508","7.3198347091674805","7.3198347091674805","7.3198347091674805","7.603048324584961","7.603048324584961","7.603048324584961","6.69179105758667","6.69179105758667","6.69179105758667","7.306118965148926","7.306118965148926","7.306118965148926","6.909951686859131","6.909951686859131","6.909951686859131","","","","7.116899490356445","7.116899490356445","7.116899490356445"
"48","10.548332214355469","10.548332214355469","10.548332214355469","7.318459987640381","7.318459987640381","7.318459987640381","7.624147415161133","7.624147415161133","7.624147415161133","6.663698196411133","6.663698196411133","6.663698196411133","7.318124771118164","7.318124771118164","7.318124771118164","6.906648635864258","6.906648635864258","6.906648635864258","","","","7.134304046630859","7.134304046630859","7.134304046630859"
"49","10.536259651184082","10.536259651184082","10.536259651184082","7.2950215339660645","7.2950215339660645","7.2950215339660645","7.649057865142822","7.649057865142822","7.649057865142822","6.667219161987305","6.667219161987305","6.667219161987305","7.3003950119018555","7.3003950119018555","7.3003950119018555","6.884570121765137","6.884570121765137","6.884570121765137","","","","7.139830589294434","7.139830589294434","7.139830589294434"
"50","10.525297164916992","10.525297164916992","10.525297164916992","7.302262783050537","7.302262783050537","7.302262783050537","7.651679992675781","7.651679992675781","7.651679992675781","6.638624668121338","6.638624668121338","6.638624668121338","7.302684307098389","7.302684307098389","7.302684307098389","6.832634925842285","6.832634925842285","6.832634925842285","","","","7.1365227699279785","7.1365227699279785","7.1365227699279785"
"51","10.51263427734375","10.51263427734375","10.51263427734375","7.2277679443359375","7.2277679443359375","7.2277679443359375","7.5590620040893555","7.5590620040893555","7.5590620040893555","6.603271484375","6.603271484375","6.603271484375","7.270705223083496","7.270705223083496","7.270705223083496","6.830801486968994","6.830801486968994","6.830801486968994","","","","7.057714939117432","7.057714939117432","7.057714939117432"
"52","10.50046157836914","10.50046157836914","10.50046157836914","7.221923351287842","7.221923351287842","7.221923351287842","7.549979209899902","7.549979209899902","7.549979209899902","6.604193687438965","6.604193687438965","6.604193687438965","7.367428302764893","7.367428302764893","7.367428302764893","6.807793617248535","6.807793617248535","6.807793617248535","","","","7.043767929077148","7.043767929077148","7.043767929077148"
"53","10.486979484558105","10.486979484558105","10.486979484558105","7.1647138595581055","7.1647138595581055","7.1647138595581055","7.549077987670898","7.549077987670898","7.549077987670898","6.569927215576172","6.569927215576172","6.569927215576172","7.259365081787109","7.259365081787109","7.259365081787109","6.753729820251465","6.753729820251465","6.753729820251465","","","","7.008453369140625","7.008453369140625","7.008453369140625"
"54","10.47465705871582","10.47465705871582","10.47465705871582","7.148902416229248","7.148902416229248","7.148902416229248","7.597048282623291","7.597048282623291","7.597048282623291","6.543446063995361","6.543446063995361","6.543446063995361","7.30813455581665","7.30813455581665","7.30813455581665","6.752884387969971","6.752884387969971","6.752884387969971","","","","6.989416599273682","6.989416599273682","6.989416599273682"
"55","10.461145401000977","10.461145401000977","10.461145401000977","7.110799789428711","7.110799789428711","7.110799789428711","7.519489765167236","7.519489765167236","7.519489765167236","6.52358865737915","6.52358865737915","6.52358865737915","7.265603065490723","7.265603065490723","7.265603065490723","6.7338738441467285","6.7338738441467285","6.7338738441467285","","","","6.959474086761475","6.959474086761475","6.959474086761475"
"56","10.446375846862793","10.446375846862793","10.446375846862793","7.079286098480225","7.079286098480225","7.079286098480225","7.502333641052246","7.502333641052246","7.502333641052246","6.518428325653076","6.518428325653076","6.518428325653076","7.323064804077148","7.323064804077148","7.323064804077148","6.746804714202881","6.746804714202881","6.746804714202881","","","","6.943357944488525","6.943357944488525","6.943357944488525"
"57","10.432533264160156","10.432533264160156","10.432533264160156","7.040961265563965","7.040961265563965","7.040961265563965","7.506712913513184","7.506712913513184","7.506712913513184","6.486639022827148","6.486639022827148","6.486639022827148","7.270098686218262","7.270098686218262","7.270098686218262","6.698026180267334","6.698026180267334","6.698026180267334","","","","6.9343366622924805","6.9343366622924805","6.9343366622924805"
